"Run","subFuncID","AIC","BIC"
1,1,-847.593244021918,-835.580508886617
1,2,-849.361609303077,-837.348874167776
1,3,-847.419926658789,-823.394456388188
1,4,-849.946852210952,-837.934117075651
1,5,-847.270245009627,-823.244774739026
1,6,-846.014933292389,-821.989463021788
1,7,-843.903835350633,-807.865629944731
1,8,-834.107143742345,-822.094408607045
1,9,-846.991077225069,-822.965606954468
1,10,-847.606227616065,-823.580757345464
1,11,-843.771160434554,-807.732955028652
1,12,-847.557864439599,-823.532394168998
1,13,-843.760856265662,-807.722650859761
1,14,-843.926697636346,-807.888492230444
1,15,-843.46790188942,-795.416961348218
1,16,-762.403113453952,-750.390378318651
1,17,-846.23710527921,-822.211635008609
1,18,-847.470011588094,-823.444541317493
1,19,-843.637681051943,-807.599475646042
1,20,-847.717658260421,-823.69218798982
1,21,-843.764894277599,-807.726688871697
1,22,-844.022147102297,-807.983941696395
1,23,-843.044535186963,-794.993594645761
1,24,-846.99766178194,-822.972191511339
1,25,-843.888917803738,-807.850712397836
1,26,-844.90527570188,-808.867070295979
1,27,-843.118134286902,-795.0671937457
1,28,-844.003909564394,-807.965704158492
1,29,-842.984082415624,-794.933141874422
1,30,-843.197152452256,-795.146211911054
1,31,-839.096436569691,-779.032760893188
2,1,-862.317300760119,-850.304565624819
2,2,-869.820804925136,-857.808069789835
2,3,-872.492316716352,-848.466846445751
2,4,-872.256027580693,-860.243292445392
2,5,-873.972696117027,-849.947225846426
2,6,-873.611288677763,-849.585818407162
2,7,-872.620239776905,-836.582034371003
2,8,-865.486825549776,-853.474090414475
2,9,-875.080290539151,-851.05482026855
2,10,-873.118222728123,-849.092752457522
2,11,-872.65101883195,-836.612813426049
2,12,-874.577158617754,-850.551688347153
2,13,-872.64938595485,-836.611180548948
2,14,-872.606374948777,-836.568169542876
2,15,-868.658402022568,-820.607461481366
2,16,-814.912017093583,-802.899281958283
2,17,-876.343134908612,-852.317664638011
2,18,-873.165100255341,-849.13962998474
2,19,-872.688269699496,-836.650064293594
2,20,-874.727625686197,-850.702155415596
2,21,-872.683735082889,-836.645529676987
2,22,-872.569685944686,-836.531480538785
2,23,-868.834061574275,-820.783121033073
2,24,-871.699731249765,-847.674260979164
2,25,-872.6899505359,-836.651745129998
2,26,-871.385300640876,-835.347095234974
2,27,-868.843794532135,-820.792853990933
2,28,-872.729861521339,-836.691656115438
2,29,-868.829004832408,-820.778064291206
2,30,-868.830225988286,-820.779285447084
2,31,-864.837168502359,-804.773492825856
3,1,-759.936681526998,-747.923946391697
3,2,-760.095311078561,-748.082575943261
3,3,-758.548258166332,-734.522787895731
3,4,-760.826375849695,-748.813640714394
3,5,-758.553270952911,-734.52780068231
3,6,-757.11990814746,-733.094437876859
3,7,-755.248743792321,-719.210538386419
3,8,-745.363999545593,-733.351264410292
3,9,-758.444349494682,-734.418879224081
3,10,-758.33206659601,-734.306596325409
3,11,-755.237574298862,-719.19936889296
3,12,-758.744853734795,-734.719383464194
3,13,-755.139794124803,-719.101588718901
3,14,-755.437948343891,-719.399742937989
3,15,-751.17719991632,-703.126259375118
3,16,-676.635868120848,-664.623132985547
3,17,-757.953376118872,-733.927905848272
3,18,-758.629453054049,-734.603982783448
3,19,-755.333919446094,-719.295714040193
3,20,-759.10811102872,-735.082640758119
3,21,-755.593567370917,-719.555361965015
3,22,-755.972377796978,-719.934172391076
3,23,-753.023573325262,-704.97263278406
3,24,-758.437182390394,-734.411712119793
3,25,-755.856051418428,-719.817846012527
3,26,-755.045653823065,-719.007448417164
3,27,-753.205108564846,-705.154168023644
3,28,-755.608098901444,-719.569893495542
3,29,-753.176420582228,-705.125480041026
3,30,-753.226011482331,-705.175070941129
3,31,-749.207057959056,-689.143382282553
4,1,-767.064458075869,-755.051722940568
4,2,-758.305252136953,-746.292517001652
4,3,-763.151397018545,-739.125926747945
4,4,-760.145361830586,-748.132626695285
4,5,-763.176214732905,-739.150744462304
4,6,-760.521626393684,-736.496156123083
4,7,-760.546830118985,-724.508624713083
4,8,-738.300159949567,-726.287424814266
4,9,-763.212513225471,-739.18704295487
4,10,-759.459455023186,-735.433984752585
4,11,-760.43860680852,-724.400401402618
4,12,-762.03827965955,-738.012809388949
4,13,-760.067686700679,-724.029481294778
4,14,-760.695444417423,-724.657239011522
4,15,-756.383275734631,-708.332335193429
4,16,-662.137098498196,-650.124363362896
4,17,-763.293601237914,-739.268130967313
4,18,-758.915517934867,-734.890047664266
4,19,-760.30332462565,-724.265119219749
4,20,-761.013950649373,-736.988480378772
4,21,-760.25412464379,-724.215919237889
4,22,-761.162251182991,-725.12404577709
4,23,-757.843641526786,-709.792700985584
4,24,-757.000004244011,-732.97453397341
4,25,-760.249366617377,-724.211161211476
4,26,-757.132252121068,-721.094046715167
4,27,-758.204501867456,-710.153561326254
4,28,-759.813941018301,-723.7757356124
4,29,-757.91402578242,-709.863085241218
4,30,-758.189937477574,-710.138996936372
4,31,-754.209038008253,-694.145362331751
5,1,-756.16397837521,-744.15124323991
5,2,-773.422888278712,-761.410153143412
5,3,-773.166001126203,-749.140530855602
5,4,-774.127269310504,-762.114534175204
5,5,-774.010189783785,-749.984719513184
5,6,-770.762360912223,-746.736890641622
5,7,-771.160562867708,-735.122357461807
5,8,-775.19141979099,-763.178684655689
5,9,-774.22428284626,-750.198812575659
5,10,-773.060855284956,-749.035385014355
5,11,-771.244217822815,-735.206012416913
5,12,-773.861385402271,-749.83591513167
5,13,-771.218861041651,-735.18065563575
5,14,-771.250676811744,-735.212471405843
5,15,-767.242888147066,-719.191947605864
5,16,-739.364105850651,-727.351370715351
5,17,-773.610613854356,-749.585143583755
5,18,-772.914837508927,-748.889367238326
5,19,-771.37399643832,-735.335791032418
5,20,-773.618557862812,-749.593087592211
5,21,-771.363541229326,-735.325335823425
