"Run","subFuncID","AIC","BIC"
1,1,-7.43348598862996,4.57924914667054
1,2,-223.794752586375,-211.782017451074
1,3,-745.711729040229,-721.686258769628
1,4,-179.003714216369,-166.990979081068
1,5,-727.596366032298,-703.570895761697
1,6,-235.503597207487,-211.478126936886
1,7,-744.48877423049,-708.450568824588
1,8,-293.964580081296,-281.951844945995
1,9,-674.510991350729,-650.485521080128
1,10,-313.61039155198,-289.584921281379
1,11,-743.418668393449,-707.380462987547
1,12,-570.230525769509,-546.205055498908
1,13,-729.249305011716,-693.211099605814
1,14,-740.648345937095,-704.610140531193
1,15,-745.063329389844,-697.012388848642
1,16,-343.739385516265,-331.726650380965
1,17,-546.185256551324,-522.159786280723
1,18,-351.672306775099,-327.646836504498
1,19,-742.489432541711,-706.451227135809
1,20,-425.351368472293,-401.325898201692
1,21,-723.766275542685,-687.728070136784
1,22,-707.551086482835,-671.512881076933
1,23,-745.361609152253,-697.310668611051
1,24,-364.739364874321,-340.71389460372
1,25,-671.876169293704,-635.837963887802
1,26,-377.936821776582,-341.89861637068
1,27,-745.037213698368,-696.986273157166
1,28,-568.755518408208,-532.717313002306
1,29,-746.031881608471,-697.980941067269
1,30,-737.268167987431,-689.217227446229
1,31,-742.546462296315,-682.482786619812
2,1,-4.51209347030883,7.50064166499167
2,2,-206.241362534964,-194.228627399663
2,3,-706.353843348937,-682.328373078336
2,4,-161.967935434769,-149.955200299469
2,5,-684.671657058917,-660.646186788316
2,6,-220.632335977431,-196.60686570683
2,7,-702.622015258999,-666.583809853097
2,8,-271.975597437197,-259.962862301897
2,9,-627.166553358229,-603.141083087628
2,10,-289.612481010678,-265.587010740077
2,11,-702.430245316811,-666.39203991091
2,12,-520.677391628015,-496.651921357414
2,13,-687.742236533421,-651.704031127519
2,14,-692.876106787001,-656.8379013811
2,15,-701.661932265857,-653.610991724655
2,16,-314.629712515536,-302.616977380236
2,17,-492.974850381224,-468.949380110623
2,18,-316.532275692954,-292.506805422353
2,19,-702.8506786377,-666.812473231798
2,20,-374.5855903379,-350.560120067299
2,21,-680.952599378907,-644.914393973006
2,22,-641.412637836039,-605.374432430137
2,23,-702.293326673556,-654.242386132354
2,24,-320.84488945377,-296.819419183169
2,25,-625.075552968129,-589.037347562228
2,26,-335.242497584839,-299.204292178938
2,27,-702.55860676789,-654.507666226688
2,28,-520.056660160976,-484.018454755075
2,29,-704.012141878959,-655.961201337757
2,30,-690.387623533007,-642.336682991805
2,31,-700.028903570695,-639.965227894193
3,1,-1.80234553547486,10.2103895998256
3,2,-200.398922013642,-188.386186878341
3,3,-741.08678648682,-717.061316216219
3,4,-150.816689206531,-138.80395407123
