"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-107.624817310498,-195.249634620995,-149.048902555692,1.00608712955442,0.899622470522552,0.0424186709630249,-1.55364598969371,1.75450982326898,-0.513726231909792,1.9780488347121,1.0490296568681,0.184365318306944,-3.45055125333233,2.52298013270908,-0.526826519408354
1,0.90856029641607,1000,-104.538881109868,-194.908677585337,-148.707945520034,0.614714598918628,0.634657934374202,-0.0060054314100771,-1.18421289859792,1.76775765493085,-0.506907227152674,0.017898517684077,0.108114181535781,0.052328778397599,-1.39706000061729,2.42328698288079,-0.53799664549304
1,2.27140074104017,1000,-102.118958414907,-198.336105228426,-161.375519576183,-0.455453103580012,0.284574472162294,-0.00353051669889957,0,1.62364997208358,-0.523735917246969,-1.1258366845726,-0.294899629240194,0.00731209318165507,0,2.13567565849274,-0.52774480391977
1,4.54280148208035,392,-97.3008320626604,-201.074548560621,-173.354109321439,-0.427097106173862,0.259517330766054,0,0,1.5688023831584,-0.506768870526262,-0.971925744726506,-0.24501190459534,0,0,1.95427348876405,-0.491554764965295
1,9.0856029641607,354,-88.7376011371805,-197.383591170017,-169.663151930835,-0.393222518713845,0.185446210515055,0,0,1.48055832367719,-0.473165679676758,-0.713982747394502,-0.132500661660442,0,0,1.64121875341342,-0.433173351484431
1,18.1712059283214,292,-74.6245168018324,-187.352727705575,-159.632288466393,-0.343236637514595,0.052674520298253,0,0,1.32387724563675,-0.412043336297648,-0.428408782840381,-0.0259654756199805,0,0,1.26223750635868,-0.357031127269603
1,45.4280148208035,220,-45.7913555936143,-157.481749694853,-139.001456868732,-0.0294886306897131,0,0,0,0.765984652990442,-0.262222925148601,-0.0878432171249013,0,0,0,0.716443775325642,-0.227823550501577
1,90.856029641607,153,-21.7437457249044,-88.8085374471596,-70.3282446210382,0.317117086609211,0,0,0,0.178376178812692,-0.11809434655002,0.246247341346223,0,0,0,0.177063018497248,-0.101533161437145
1,227.140074104017,26,-5.71038276244953,-40.2737444372493,-31.0335980241886,0.232605884767548,0,0,0,0,-0.0411326801111382,0.196202411121173,0,0,0,0,-0.0337630672300607
1,454.280148208035,15,8.46538948360859e-08,1.69307789672172e-07,1.69307789672172e-07,3.15933680964332e-05,0,0,0,0,0,3.21443373871771e-05,0,0,0,0,0
