"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-429.548218284845,-839.096436569691,-779.032760893188,0.0551248916188568,-0.783487651380802,2.42777600570503,0.135594730814393,-1.26032075940747,0.0185342091235418,-6.53401002006463,6.62532069219492,-2.20677666358484,-3.51954467492817,1.72668661794514,-0.020569335539374
1,1.44224957030741,1000,-422.406781445338,-839.07247495948,-779.008799282977,-0.0860500637064236,-0.837460275849798,2.38517091403395,0.254162015350904,-1.24350910445896,0.0180411915462633,-6.43072520928899,6.59897838456503,-2.15895894634176,-3.54482427443287,1.69876289383862,-0.0199625625529697
1,3.60562392576852,1000,-412.10062235972,-838.928560208559,-778.864884532057,-0.443569763572651,-0.955416525191645,2.27192554779985,0.549256223595961,-1.20216254347391,0.0169104915650118,-6.17977182863539,6.53299718798121,-2.02948947582599,-3.62055107065676,1.63103379745441,-0.0186777999846956
1,7.21124785153704,1000,-396.181324923201,-838.307658690105,-778.243983013602,-1.14460650156291,-1.16970750132756,2.03612990134592,1.11041194328208,-1.11084601549471,0.0145527656196831,-5.66244755975895,6.41017394713329,-1.76108057287594,-3.79112460292988,1.4926914819004,-0.0160747668858408
1,14.4224957030741,1000,-368.510029396727,-835.134875350973,-775.07119967447,-2.47134898864761,-1.58159859521141,1.55550086887868,2.13086208195389,-0.895141127749873,0.00911120059754049,-4.57810541433097,6.23881657036927,-1.2231178086766,-4.18400822089896,1.20209636767337,-0.0101548584478473
1,28.8449914061482,1000,-329.007163539791,-834.539703577501,-786.488763036299,-4.90536730527026,-2.20827613151128,0.500823284694971,3.97109363485814,-0.438311446343765,0,-2.56417102696707,6.07575608365358,-0.124957807634438,-5.13269605969555,0.654360630472488,0
1,72.1124785153704,1000,-263.244051700514,-805.26743306704,-745.203757390538,-5.15069868915301,0.648302614661326,-1.11537351447929,2.18967132204316,0.347795619056444,-0.0010669254703603,-3.21651556962161,1.93911063782,1.77209965833622,-2.13277016970832,-0.274721636412073,0.000956712659579281
1,144.224957030741,1000,-366.683886565025,-827.144684948695,-779.093744407493,-2.02711593154558,-0.00993235349944713,0.0563997874541519,0.318515554510882,0.148207835018958,0,-3.33582963991946,0.0566321264409956,0.550100356035977,-0.126132003484171,0.171815001384906,0
1,360.562392576852,936,-334.33347511945,-818.232728204693,-806.219993069392,-1.41636738058916,0,0,0,0.205036930058995,0,-3.17879643459771,0,0,0,0.40644602680048,0
1,721.124785153704,199,-264.421871276368,-778.743195597343,-766.730460462043,-1.08609115442992,0,0,0,0.155071879310565,0,-2.71009381555321,0,0,0,0.342898539108655,0
2,0,0,-442.418584251179,-864.837168502359,-804.773492825856,-1.65798764187179,1.86161117201641,1.10703879685289,-0.640853028967867,-0.73486177354963,0.0173738031022498,-4.42722628324277,4.87751106519343,0.0641597788678367,-2.03705278782062,-0.145801607350515,0.018118050331749
2,1.44224957030741,1000,-435.67286817929,-864.767461517359,-804.703785840857,-2.00277585822244,1.77995922825764,1.01126262887972,-0.420092178162423,-0.676892824449739,0.0150156988986212,-4.40818368694341,4.73438164140265,0.0986542515667428,-2.0194852062022,-0.120728061030649,0.0163469492812306
2,3.60562392576852,1000,-428.302136657884,-864.418190141998,-804.354514465496,-2.73298446869638,1.52262237856731,0.761441292163379,0.0806415370172232,-0.516512616973544,0.00968545539675094,-4.37037299656378,4.41475647565968,0.158381428135454,-1.95454190789412,-0.0701624471338103,0.0131099755263137
2,7.21124785153704,1000,-423.794313675368,-863.817690043134,-803.754014366632,-3.77869666873036,1.02623158956402,0.247218335840857,0.787586857420032,-0.151858265916408,0.000179156885889882,-4.46677285554486,3.91687028738232,0.209111948829013,-1.7170659014822,-0.0048099567884831,0.00895935679941136
2,14.4224957030741,1000,-424.085627575392,-858.075039430072,-798.01136375357,-2.9350915042454,1.38141453544107,-0.0149732007628006,-0.0934464085448025,0.106706231772825,-0.000935674529826629,-6.37731739956057,2.80071216630429,0.066083870667762,0.127068123180941,-0.00854413314484913,0.00392348896906202
2,28.8449914061482,1000,-418.801798998721,-873.780765908098,-849.755295637497,-3.26812138848541,1.66251754488533,0,0,0.0276443745084835,0,-5.33199524580126,1.85358659638039,0,0,0.214617709619489,0
2,72.1124785153704,1000,-387.398119318984,-869.080396659492,-845.054926388891,-2.8325928061872,1.30737379214804,0,0,0.0594225185321663,0,-4.91318918371352,1.58113538919066,0,0,0.229332321343269,0
2,144.224957030741,1000,-339.213200742816,-854.000886948808,-829.975416678207,-2.36870040117417,1.00302175475315,0,0,0.0728222112443772,0,-4.39079510899662,1.3165885405729,0,0,0.227928124739439,0
2,360.562392576852,1000,-221.861745538174,-768.160690508925,-744.135220238324,-1.37940554467114,0.446713546820906,0,0,0.0765136236391168,0,-3.04927058399127,0.669367504043806,0,0,0.216784430678051,0
2,721.124785153704,299,-97.9551952019916,-553.732584369569,-541.719849234269,-0.381310961331674,0,0,0,0.0519183380636495,0,-1.45485078080715,0,0,0,0.180637893782594,0
3,0,0,-384.603528979528,-749.207057959056,-689.143382282553,-1.62546238224343,0.916691142067026,-0.378801920112744,-1.29298045689745,0.797651866204081,-0.0162696270215371,-7.71186438850599,8.19380333222558,-3.67409736424349,-4.28904206426898,2.64504048825033,-0.0355652228108485
3,1.44224957030741,1000,-377.468781495432,-749.191540143599,-689.127864467097,-1.70038714288256,0.926416823737765,-0.397620532885872,-1.22308470965481,0.785757674668791,-0.0157884303296122,-7.60269926779883,8.13110012213921,-3.62468980986708,-4.28942126597105,2.61484939094282,-0.0348294842587674
3,3.60562392576852,1000,-367.214794041838,-749.097524705217,-689.033849028714,-1.88612426283308,0.939986421394577,-0.434318123533684,-1.05318243782652,0.757303051101095,-0.0148610025793041,-7.3714815566921,7.99755373635683,-3.49881732406251,-4.29067153398434,2.53967975704386,-0.0332300146458863
3,7.21124785153704,1000,-351.568832474618,-748.712682832802,-688.6490071563,-2.22420838311088,0.943221461606108,-0.498765833612537,-0.730422344386312,0.705029914920729,-0.0131734552436425,-6.94105937795628,7.75901018322149,-3.24971114745026,-4.2891452780664,2.38555559009597,-0.0299646038426263
3,14.4224957030741,1000,-325.389233441635,-746.926273470583,-686.862597794081,-2.79158032163892,0.911522359437771,-0.620846185589727,-0.14926444363758,0.615737236892967,-0.0098213898638572,-6.10681629887066,7.33942441663409,-2.76164302990343,-4.27462707805056,2.06020835862912,-0.0226029155867504
3,28.8449914061482,1000,-293.021039155727,-738.152491708797,-678.088816032295,-3.51252054519186,0.769057593759211,-0.83285026643979,0.741064954287988,0.481493634817724,-0.00284073821479931,-4.54936600197702,6.67369874483591,-1.81824809134496,-4.19744807716332,1.35790351195328,-0.00531699786271225
3,72.1124785153704,1000,-275.156195212741,-735.885642381347,-675.821966704844,-3.23462357538058,1.08536478143348,-0.773000492021744,0.466497823252284,0.422384993420138,-0.00221581183817219,-4.4376373719693,3.77973722549369,0.423207897539493,-2.09993445541896,0.0996488533690272,0.00177115889382388
3,144.224957030741,1000,-346.749590163115,-740.930300930204,-692.879360389002,-1.67647133562151,0.216601546003842,0.10904865238073,-0.0003676604173452,0.125654204159671,0,-3.55305333242714,0.169173031346076,0.28825161320196,0.00174270645760992,0.25448728035181,0
3,360.562392576852,430,-313.798464202818,-736.476708161323,-724.463973026023,-1.35252059157103,0,0,0,0.19292890550564,0,-3.06211547057155,0,0,0,0.387032201458245,0
