"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-381.273231148157,-742.546462296315,-682.482786619812,2.8392314634425,3.30561856828299,0.0955046245733452,-3.74310312210896,0.162041315435277,-0.000232918833297428,0.250421133681328,3.1287047372587,-0.611459908405205,-1.72559284979383,0.204899932306093,-0.00090032200851848
1,1.44224957030741,1000,-368.318214541588,-742.35627718195,-682.292601505447,2.4876399301647,3.08704417692884,0.0759335189850113,-3.34329866986763,0.130943999125159,-0.000150622678830768,0.311151188491126,3.05617485257728,-0.564944236111315,-1.73705997378451,0.194041393650964,-0.000850033877510366
1,3.60562392576852,1000,-353.646579324238,-741.126321918625,-681.062646242123,1.62743462142567,2.60996468469709,-0.012418603532013,-2.39359810855051,0.0719965787946254,-3.5877977847142e-05,0.358550027093119,2.87960243507074,-0.474620935098693,-1.68081503452314,0.163325394240769,-0.000702669027870976
1,7.21124785153704,1000,-342.009550678239,-735.946379123446,-675.882703446943,0.372045855804143,1.9217243998825,-0.184025258881178,-1.01674242780767,0.00839649447471242,4.46609134308939e-07,-0.0745418805521041,2.32248224932004,-0.3961141246702,-1.03284221547047,0.0857569848639775,-0.000441157016170274
1,14.4224957030741,1000,-334.947112780868,-729.009242755771,-680.958302214569,-0.510136096781835,1.33527764773746,-0.288496063731756,0,-0.0388830107131334,7.08612091367986e-06,-0.86112048309017,1.60044019657436,-0.383573696871907,0,-0.00795306035577281,-0.000130453558459938
1,28.8449914061482,1000,-302.131758637357,-703.161087907647,-655.110147366445,-0.398469271795495,1.08455510835224,-0.17442121517635,0,-0.055716821377674,9.90983221846835e-06,-0.666720557589463,1.2383636028378,-0.218523530398829,0,-0.0349853276298617,-0.000100821728053026
1,72.1124785153704,1000,-239.359937183146,-623.248560967634,-587.210355561733,-0.224068045803048,0.671698815538597,0,0,-0.0779375851636247,1.35899640227066e-05,-0.417821390631514,0.719601747160873,0,0,-0.0639516200423278,-0.000110406042323285
1,144.224957030741,141,-191.908403928126,-470.548449568831,-434.510244162929,-0.02829936442853,0.209244718337712,0,0,-0.000349536449141507,-0.000801989077176863,-0.156315063815333,0.269019653911993,0,0,0.000210540546846375,-0.000693647104298027
1,360.562392576852,79,-174.351354449612,-349.282376909747,-325.256906639146,0.258817733824146,0,0,0,0.00214587399260977,-0.000612546529392397,0.179241286172654,0,0,0,0.0108267410350608,-0.000604027757662153
1,721.124785153704,17,-173.34027402818,-343.73541647891,-331.722681343609,0.275761685701775,0,0,0,0,-0.000591162777974154,0.247847369415192,0,0,0,0,-0.000430673562885756
2,0,0,-360.014451785348,-700.028903570695,-639.965227894193,3.4131603191013,3.88553233997781,-0.099843815844021,-4.59496881090466,0.346490590127488,-0.00127552185314122,1.63422475484193,3.05483396268678,-0.0303869797373093,-2.80414363174696,0.115152288582712,-0.00012168221579681
2,1.44224957030741,1000,-345.066898256837,-699.821654926248,-639.757979249745,3.26400172953555,3.72900245929844,-0.0745821641056076,-4.39046559050488,0.318658249944919,-0.00115524625010533,1.50815745768648,2.94258777871309,-0.0282881254180606,-2.64654645802739,0.102217935875155,-9.4420528113565e-05
2,3.60562392576852,1000,-326.349395527494,-698.518198153095,-638.454522476593,2.78580210610295,3.37039438730085,-0.0602622576610316,-3.8078190897994,0.255681501587517,-0.000896416968690054,1.22017213500539,2.72690825932972,-0.0404291844456072,-2.30490519621398,0.0782814296890877,-5.11370210445922e-05
2,7.21124785153704,1000,-307.325250682116,-694.042417252148,-633.978741575645,1.69713091961667,2.6663114684735,-0.0962796710765062,-2.54270483727028,0.142803551500813,-0.000487229626497949,0.69938222486168,2.35777326163965,-0.0816998250368161,-1.69581722295709,0.042890393708138,-9.85735585632508e-06
2,14.4224957030741,1000,-309.963967470694,-680.935329382635,-620.871653706133,-0.388297796111852,1.42196311218003,-0.335270778748318,-0.199513975701463,0.0181967424299213,-0.000365591001424223,-0.57863741050742,1.50680944440951,-0.234820733865454,-0.218644722432158,-0.0249274383368173,5.63258707002067e-06
2,28.8449914061482,1000,-283.46644859057,-663.144372008391,-615.093431467189,-0.437586517015583,1.08691025532785,-0.253197199019129,0,-0.0118571626690976,-0.000268436188273363,-0.640214722816601,1.16003580680617,-0.179886535628136,0,-0.0429366447357608,8.5999665599363e-06
2,72.1124785153704,1000,-222.825992785817,-578.588968835938,-530.538028294736,-0.232416921250286,0.603300800077118,-0.0239926078647316,0,-0.0484654827957238,-0.000245555657575579,-0.40970869784663,0.705901533508001,-0.00601343231636233,0,-0.0625214389070945,1.21682323235928e-05
2,144.224957030741,211,-173.795060430654,-426.047416560005,-402.021946289404,-0.0215584079190648,0.191383058353493,0,0,0,-0.00070583872130982,-0.129238268096,0.22955012776838,0,0,0,-0.000499937431422474
2,360.562392576852,34,-159.085179016367,-314.62904820247,-302.616313067169,0.265311402612331,0,0,0,0,-0.000540557895456597,0.224738904116598,0,0,0,0,-0.000335245941084892
2,721.124785153704,8,-158.856196331417,-314.62703895809,-302.614303822789,0.264907285444518,0,0,0,0,-0.000538732421288266,0.224511281646126,0,0,0,0,-0.000334592375313099
3,0,0,-378.599352635459,-737.198705270918,-677.135029594416,0.277087373042934,2.16639760582835,-0.369629720217615,-1.02432755699197,0.0620385450569952,-0.000152609870732505,11.9861384563971,8.20176085830742,1.10519100685754,-14.1552711061493,0.913255620050199,-0.00315292195340379
3,1.44224957030741,1000,-343.950990606976,-736.981257359914,-676.917581683412,0.390900279527676,2.22581566957284,-0.366526753519497,-1.15024342516377,0.0749460235554792,-0.000201647170241461,11.5509810258292,7.9309778341499,1.09804070153151,-13.640633185096,0.858263443722817,-0.00287342119939279
3,3.60562392576852,1000,-299.275565942672,-735.58877392562,-675.525098249118,0.760627442088541,2.40199858334243,-0.330941619988648,-1.550738849962,0.105321345964678,-0.000301648729540963,10.3077323845094,7.24545040320363,1.02559713799918,-12.2295286523013,0.728544253187566,-0.00227439076016187
3,7.21124785153704,1000,-249.53841366879,-731.238926354235,-671.175250677733,1.43780213904566,2.68417646159179,-0.242082052287462,-2.26530541517626,0.151919052137572,-0.000448473880838707,7.7446671300387,5.88735210860483,0.823186263072751,-9.36802662858786,0.493246196384699,-0.00131595595226499
3,14.4224957030741,1000,-229.492128351043,-723.864885810867,-663.801210134365,1.98908820937368,2.71505420650745,-0.0623313281415734,-2.75126849236305,0.14807919077643,-0.000376029336507204,2.99067641401812,3.42883997791923,0.335246710923839,-4.13318627339361,0.128553775384649,-0.000170842113883242
3,28.8449914061482,1000,-302.923781017383,-700.003755705193,-651.952815163991,-0.375573136647879,1.04608027044082,-0.181502598653535,0,-0.0465521885913854,1.92879637821865e-05,-0.684813855644023,1.21805339187927,-0.117710322681993,0,-0.0740423767898072,-6.08498225733087e-05
3,72.1124785153704,1000,-241.473144112363,-618.221491331164,-570.170550789962,-0.21207186773501,0.638038738741893,-0.00619042080122563,0,-0.0693776299743885,2.75394202521964e-05,-0.480294747286808,0.715979270904821,-0.00293511377185657,0,-0.044401638419303,-0.000642222495854782
3,144.224957030741,159,-192.611316370978,-492.680513532947,-456.642308127045,-0.0251737627466486,0.249819473498291,0,0,-0.0140044141590489,-0.00048573523472365,-0.244017524231888,0.304188790379614,0,0,0.0131547387302988,-0.00120432450940398
3,360.562392576852,36,-169.067693651741,-353.277776753769,-329.252306483168,0.224542196941476,0,0,0,0.0036077901179434,-0.000532099232541701,0.0857615607534838,0,0,0,0.0306306233624651,-0.00113077450827836
3,721.124785153704,37,-164.060260300849,-325.188105057879,-313.175369922578,0.252221139391745,0,0,0,0,-0.00049535336476154,0.261782071745623,0,0,0,0,-0.000550048395433998
4,0,0,-406.946189725195,-793.89237945039,-733.828703773888,1.8401949230931,3.37270103470787,-0.379567023931985,-2.92455665611737,0.240121268719308,-0.000799034692848737,7.15505140047336,5.76948256149368,0.535713945581512,-8.7662844186367,0.539297109697565,-0.00167668714258744
4,1.44224957030741,1000,-383.076486678361,-793.707362863982,-733.643687187479,1.86018683549441,3.35018270313494,-0.369311422703053,-2.93293206276592,0.240365858980443,-0.000812960401987429,6.78174703185877,5.52398756010013,0.535273740306042,-8.3242389018922,0.492329749426097,-0.00146359647412538
4,3.60562392576852,1000,-353.277764029473,-792.610975592972,-732.54729991647,1.94890448302402,3.32927460294812,-0.336568903132138,-3.00156164182769,0.240553878974666,-0.000823681521806551,5.71825826920402,4.91998267069488,0.473286543474598,-7.12138975465154,0.387614901102801,-0.00104743841782063
4,7.21124785153704,1000,-323.532523242336,-789.484909820113,-729.42123414361,2.03117472039823,3.20603115174887,-0.251936358674941,-3.01245141571863,0.218830590166246,-0.000725114941716628,3.57589208164569,3.77607584001943,0.285183256597088,-4.74819644412328,0.210255656617914,-0.000456100344003856
4,14.4224957030741,1000,-318.525163752657,-774.191919395658,-714.128243719155,1.14658553890563,2.29177250115727,-0.0594625907641562,-1.83269707746685,0.0417395125103643,-8.91649491310047e-06,0.441785467427789,2.06658682446006,-0.0439907803069069,-1.29819814232734,-0.00444981003846518,3.61470173462686e-06
4,28.8449914061482,961,-326.530245867392,-756.202864741319,-708.151924200117,-0.417760924396082,1.20350201679727,-0.243792105913121,0,-0.0426333261989866,8.41338336890027e-06,-0.615341996041622,1.20539771537815,-0.139311993129454,0,-0.0689473958251352,1.25048091440765e-05
4,72.1124785153704,578,-260.958525373206,-663.677232118062,-615.62629157686,-0.205539325431533,0.692966826547922,-0.0122947921666999,0,-0.0760576501382373,1.45284296878424e-05,-0.417915872497149,0.705534713981002,-0.0053365855372313,0,-0.0500774333280308,-0.000451642646810184
4,144.224957030741,136,-213.176693469812,-525.541635060444,-489.503429654542,-0.0110391196308183,0.241174950233178,0,0,-0.00677624952601051,-0.000753498517394139,-0.173724617287072,0.286433265974373,0,0,0.0070341416952278,-0.00100435531278254
4,360.562392576852,83,-192.657552822336,-393.50635404868,-369.480883778079,0.269515767684758,0,0,0,0.00420023935120855,-0.00067731498186568,0.160456804172001,0,0,0,0.0208958668984075,-0.000915659102824614
4,721.124785153704,23,-190.153125558461,-377.497309699889,-365.484574564589,0.300254933227856,0,0,0,0,-0.000625560250173704,0.285375887435958,0,0,0,0,-0.000539143764399708
5,0,0,-396.019442209803,-772.038884419606,-711.975208743103,4.21097141082621,4.28672068975585,0.0778208033265888,-5.50278122861776,0.378750192622447,-0.00154117368028096,-3.45549365700648,0.990063250271619,-0.88006402758431,2.45103351030989,-0.112349945105658,3.11273742011367e-05
5,1.44224957030741,1000,-380.091277285482,-771.647750443376,-711.584074766874,3.86964601445986,4.03213885393361,0.102649635209711,-5.07450739010335,0.321104167931683,-0.00122977652835992,-3.21388737117359,1.10666878306363,-0.861650355427062,2.18513939250062,-0.0888250156893253,-6.8717636507115e-05
5,3.60562392576852,1000,-362.944780001154,-769.085712328591,-709.022036652089,2.81723531162773,3.39285324992407,0.085737093278748,-3.84915189071837,0.191539135949359,-0.000613664331700029,-2.49991625423625,1.42696480681777,-0.781875945270322,1.41616774706934,-0.0319900774779054,-0.000288637823353521
5,7.21124785153704,1000,-358.617509568004,-763.549596193304,-703.485920516801,0.440007448734354,2.07408290470472,-0.10383758268502,-1.19835194470813,-0.00872399100675709,1.07366601211505e-05,-1.04741063137012,1.9074864269158,-0.526119975057519,-0.0531372423804317,0.0429443873201607,-0.000517686385334712
5,14.4224957030741,1000,-353.338825735343,-761.668100547365,-713.617160006163,-0.632702136164799,1.42612349735504,-0.266390998963335,0,-0.0492513745603275,-8.79490927629464e-05,-0.826287106251525,1.45690936855866,-0.224152398792813,0,-0.0554066734230491,2.23507164120755e-05
5,28.8449914061482,1000,-322.702766991553,-736.210907678051,-688.159967136849,-0.484011648282799,1.11944786750689,-0.110223519861689,0,-0.0786277709821696,-3.71314330591049e-05,-0.671805055370634,1.14760162460829,-0.0826121245425463,0,-0.077502854198499,3.05521220043843e-05
5,72.1124785153704,588,-264.023764020987,-651.900504085796,-615.862298679895,-0.283477498326578,0.601871745018445,0,0,-0.0426141532171558,-0.000676822515621118,-0.444460269489828,0.648281565491132,0,0,-0.0370990098689524,-0.000515291010802109
5,144.224957030741,105,-222.837376444425,-554.542037557886,-530.516567287285,-0.0517513655775286,0.263626066531393,0,0,0,-0.00106182038367518,-0.171245111149115,0.305913328620313,0,0,0,-0.000788438070548663
