"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-37.8128199936569,-55.6256399873137,-25.5192870463512,88.8013966884751,43.3707243767176,7.6767446443983,-91.8286890895376,4.55034292503013,-0.135733491530233,-38.439388712379,-17.487939362307,-2.81314232798727,38.3734481515401,1.71205081133346,-1.13295199378247
1,0.531329284591305,1000,28.3502005023358,-52.7770589734011,-22.6707060324385,70.2903833612134,35.3785382493429,6.38805222467689,-70.6014204585747,1.85418669739767,-0.134607833625897,-23.378278793618,-11.1656208140289,-2.03014397774364,22.5122752172497,2.42422244024854,-0.875340212402918
1,1.32832321147826,1000,18.1740755954556,-47.046821981584,-16.9404690406215,21.3324732674609,10.8336202870088,1.81855896081637,-20.9943176352047,1.7396976321665,-0.599697184185976,6.35267627316264,2.48516134810482,0.105461863735528,-7.39510195408427,2.44516658531577,-0.404130348929828
1,2.65664642295653,734,-24.2082111777212,-53.0980388578064,-35.0342270932289,-0.0611053637902632,0,-0.013269032356269,0,1.83976236655826,-0.690034219321356,-0.334556315419369,0,-0.000530422577990225,0,1.41149617859919,-0.419366474087224
1,5.31329284591305,234,-17.4785569573342,-48.5047370115965,-36.4621958352115,0.282375105742672,0,0,0,1.1274811820576,-0.483058293550788,-0.0792512663355237,0,0,0,0.928967998510461,-0.296546909018263
1,10.6265856918261,155,-10.3133376618772,-29.2910697705716,-17.2485285941865,0.624079454603837,0,0,0,0.358688945267875,-0.262320921921666,0.24949374629114,0,0,0,0.323112964190343,-0.148276062145668
1,26.5664642295653,34,-6.66169873760195,-17.2639229160936,-11.2426523279011,0.673386707091657,0,0,0,0,-0.134518164999093,0.395839382705825,0,0,0,0,-0.0651083167904353
1,53.1329284591305,29,-3.4584940812662,-13.0337287311448,-7.01245814295227,0.442884453890942,0,0,0,0,-0.0848238875569143,0.26063418246964,0,0,0,0,-0.0432245529387995
1,132.832321147826,23,-0.00101174061581838,3.63765385864782,9.65892444684033,0.00701408122584951,0,0,0,0,-0.00125835475243323,0.00289632612742309,0,0,0,0,-0.000506073536242734
1,265.664642295653,7,1.49123383976811e-07,2.98246767953622e-07,2.98246767953622e-07,0.000108669499669504,0,0,0,0,0,4.48174074015433e-05,0,0,0,0,0
