"Run","Lambda","Iters","Obj","AIC","BIC","alpha[1]","beta[1,1]","beta[1,2]","beta[1,3]","beta[1,4]","beta[1,5]","alpha[2]","beta[2,1]","beta[2,2]","beta[2,3]","beta[2,4]","beta[2,5]"
1,0,0,-41.5052512457521,-63.0105024915043,-2.94682681500184,6.68203480602873,-2.17746638633029,1.48426362655809,-2.80129458194077,-0.0609990341479765,0.000499995513180214,8.2281659810978,0.168662409728037,1.51401989134091,-5.83631645470022,0.14531825918982,0.00201928218970329
1,1.44224957030741,1000,-34.4563659445664,-62.8497612276174,-2.78608555111497,6.49406067698585,-2.12377269852584,1.44048545243686,-2.74367284812044,-0.0471223749434574,0.00022862305138256,8.16762530774317,0.161701689455895,1.5432819705857,-5.84865485287619,0.142205632392063,0.00188398204080704
1,3.60562392576852,1000,-24.550079104399,-62.0342925045501,-1.97061682804768,6.15937974212673,-1.95946676647772,1.33814851073759,-2.64007440503632,-0.0272141740570962,-1.54925000936618e-05,8.07743723265787,0.125937001238207,1.59944726682515,-5.84046035928325,0.127200539508195,0.0018076730650285
1,7.21124785153704,1000,-9.77434631178323,-58.9935045689012,1.0701711076013,5.60344356019055,-1.58824205000591,1.17561761813121,-2.5159234507277,-0.00763553809609478,-0.000130291327320825,7.79799817987797,0.0978447425459915,1.68715709484025,-5.75095533086564,0.0852989509742307,0.00188888941996448
1,14.4224957030741,1000,13.4412533460343,-47.8042483318033,0.246692209398695,4.6100829663529,-0.792686576353911,0.93990791812024,-2.4028945246321,0,2.34051033360819e-05,6.9185481567536,0.0598562896755389,1.83896664337107,-5.43715598676136,0,0.00184637202474129
1,28.8449914061482,1000,32.1614291757522,-21.2909243324749,2.73454593812608,4.03234362131638,0,0.921755895414954,-2.76180530281424,0,0,4.40994055144105,0,1.56855191261368,-4.10782436822064,0,0
1,72.1124785153704,1000,50.1156406616923,-37.8939624166815,-13.8684921460806,3.60607281562993,0,0.78988456366768,-2.40314147221079,0,0,1.94604305416897,0,0.79570306403605,-2.01430354844707,0,0
1,144.224957030741,1000,-20.1369293906968,-47.5797837979757,-35.5670486626752,0.880512899574623,0,0,-0.213736969851679,0,0,-0.574544678121923,0,0,0.136754912922529,0,0
1,360.562392576852,181,-12.8502658095803,-43.5890184856661,-31.5762833503656,0.619672581840613,0,0,-0.15066476821208,0,0,-0.530432768180336,0,0,0.126144815719658,0,0
1,721.124785153704,78,-4.25436587695909,-29.5756480581628,-17.5629129228623,0.351248519980166,0,0,-0.0850204869536336,0,0,-0.308343437227217,0,0,0.0736994763823996,0,0
2,0,0,-48.3636543736183,-76.7273087472366,-16.6636330707342,2.07861975014345,1.08858667446759,0.203144788228192,-1.52384861003933,-0.0891551705266232,0.00319110228801804,-5.4378156863292,-2.27352272850403,-1.49608341678349,6.32372367102437,-0.177558351058924,0.00209909204938999
2,1.44224957030741,1000,-41.591800056422,-76.5201852823949,-16.4565096058925,2.02184189647935,1.02160230378167,0.197418127547643,-1.50024410860589,-0.0691582995138031,0.00272972670606766,-5.43963650854794,-2.29992468988883,-1.51973952064208,6.28521495681971,-0.142407753549548,0.00153515344938134
2,3.60562392576852,1000,-33.7471236021769,-75.2326601801337,-15.1689845036312,1.95233824995926,0.855451076000271,0.166160835829047,-1.42825976337926,-0.0233296201564265,0.0018058287759449,-5.35183083797144,-2.32439529356664,-1.59089403944491,6.17219618929266,-0.0638129563374426,0.000471120928516989
2,7.21124785153704,1000,-23.4390723234847,-76.6767044225752,-28.6257638813732,1.81913078723877,0.63527630828536,0.144844975417645,-1.24539772524138,0,0.00109916418070722,-5.1608217030501,-1.99915905222329,-1.70078549840027,5.87582040559813,0,0.000116097881849874
2,14.4224957030741,1000,-8.80639574873179,-68.3512228011632,-20.3002822599613,1.01932615885173,0.221679516731231,0.0690322520807602,-0.544184723690739,0,0.000144505998600662,-5.11332014520489,-1.00885429579036,-1.57717568744875,4.93803119760245,0,0.000331009698309639
2,28.8449914061482,1000,7.68409174926973,-60.755830345384,-24.7176249394825,0.442336457693523,0,-0.077004272635477,0.0478792954609875,0,-8.35758777814147e-05,-4.40051588394129,0,-1.25414566756302,3.4333192449129,0,0.000634096874142364
2,72.1124785153704,1000,-6.86080958444088,-42.7683089512377,-18.7428386806368,0.291199377380202,0,-0.108747032786232,0.138504512528582,0,0,-1.4916566412869,0,-0.188347953625672,0.720662134309355,0,0
2,144.224957030741,445,-19.0383700474147,-44.5446960612316,-32.5319609259311,0.667175808854281,0,0,-0.162617508830336,0,0,-0.721794263264866,0,0,0.171112694930995,0,0
2,360.562392576852,108,-12.0146373725562,-40.7097847725435,-28.697049637243,0.537084111125822,0,0,-0.130547552924483,0,0,-0.560486248585179,0,0,0.133251185730322,0,0
2,721.124785153704,60,-3.9175648940683,-27.3329931456091,-15.3202580103086,0.309986825416758,0,0,-0.0750014691273282,0,0,-0.31345314643681,0,0,0.0748746710663739,0,0
